station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
663,51.5094,-0.1967,Notting Hill Gate,1.5,0,0,3,Circle Line
663,51.5094,-0.1967,Notting Hill Gate,1.5,0,0,4,District Line
664,51.6476,-0.1318,Oakwood,5.0,1,1,10,Piccadilly Line
665,51.5263,-0.0873,Old Street,1.0,0,0,9,Northern Line
667,51.4813,-0.3522,Osterley,4.0,0,0,10,Piccadilly Line
668,51.4819,-0.113,Oval,2.0,0,0,9,Northern Line
669,51.515,-0.1415,Oxford Circus,1.0,0,0,1,Bakerloo Line
669,51.515,-0.1415,Oxford Circus,1.0,0,0,2,Central Line
669,51.515,-0.1415,Oxford Circus,1.0,0,0,11,Victoria Line
670,51.5154,-0.1755,Paddington,1.0,0,0,1,Bakerloo Line
670,51.5154,-0.1755,Paddington,1.0,0,0,3,Circle Line
670,51.5154,-0.1755,Paddington,1.0,0,0,4,District Line
670,51.5154,-0.1755,Paddington,1.0,0,0,6,Hammersmith & City Line
671,51.527,-0.2841,Park Royal,3.0,0,0,10,Piccadilly Line
672,51.4753,-0.2011,Parsons Green,2.0,0,0,4,District Line
673,51.5366,-0.3232,Perivale,4.0,0,0,2,Central Line
674,51.5098,-0.1342,Piccadilly Circus,1.0,0,0,1,Bakerloo Line
674,51.5098,-0.1342,Piccadilly Circus,1.0,0,0,10,Piccadilly Line
776,51.4893,-0.1334,Pimlico,1.0,0,0,11,Victoria Line
675,51.5926,-0.3805,Pinner,5.0,1,1,8,Metropolitan Line
676,51.5313,0.0172,Plaistow,3.0,0,0,4,District Line
676,51.5313,0.0172,Plaistow,3.0,0,0,6,Hammersmith & City Line
677,51.572,-0.2954,Preston Road,4.0,0,0,8,Metropolitan Line
678,51.4682,-0.2089,Putney Bridge,2.0,0,0,4,District Line
680,51.5341,-0.2047,Queen's Park,2.0,0,0,1,Bakerloo Line
679,51.5942,-0.2861,Queensbury,4.0,0,0,7,Jubilee Line
681,51.5107,-0.1877,Queensway,1.0,0,0,2,Central Line
682,51.4942,-0.2359,Ravenscourt Park,2.0,0,0,4,District Line
683,51.5753,-0.3714,Rayners Lane,5.0,0,1,8,Metropolitan Line
683,51.5753,-0.3714,Rayners Lane,5.0,0,1,10,Piccadilly Line
684,51.5763,0.0454,Redbridge,4.0,0,0,2,Central Line
685,51.5234,-0.1466,Regent's Park,1.0,0,0,1,Bakerloo Line
686,51.4633,-0.3013,Richmond,4.0,1,1,4,District Line
687,51.6404,-0.4733,Rickmansworth,7.0,0,0,8,Metropolitan Line
688,51.6171,0.0439,Roding Valley,5.0,1,1,2,Central Line
690,51.519,-0.188,Royal Oak,2.0,0,0,3,Circle Line
